Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
Polska,,,https://pl.wikipedia.org/wiki/Polska,"Polska to państwo unitarne w Europie Środkowej, położone między Morzem Bałtyckim na północy a Sudetami i Karpatami na południu, w przeważającej części w dorzeczu Wisły i Odry. Od północy Polska graniczy z Rosją (z jej obwodem kaliningradzkim) i Litwą, od wschodu z Białorusią i Ukrainą, od południa ze Słowacją i Czechami, od zachodu z Niemcami. Większość północnej granicy Polski wyznacza wybrzeże Morza Bałtyckiego. Polska Wyłączna Strefa Ekonomiczna na Bałtyku graniczy ze strefami Danii i Szwecji. Granice z Ukrainą, Białorusią i Rosją stanowią równocześnie granicę zewnętrzną Unii Europejskiej i strefy Schengen.",8,Numbered,blue,Poland,51.919437,19.145136,,,,
Woj. Lubelskie,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Mall-002.JPG/400px-Mall-002.JPG,"Source: David Ball/Wikimedia, CC BY-SA",https://pl.wikipedia.org/wiki/Wojew%C3%B3dztwo_lubelskie,"jednostka samorządu terytorialnego i podziału administracyjnego we wschodniej Polsce, o powierzchni 25 122,46 km². Obejmuje głównie południową połowę Niziny Południowopodlaskiej, Polesie Zachodnie i Wołyńskie (po Bug) oraz Wyżynę Lubelską, mały obszar Wyżyny Wołyńskiej, większość polskiego Roztocza i skraj Kotliny Sandomierskiej. Według danych GUS 30 czerwca 2020 roku zamieszkiwało je około 2,1 mln osób. Siedzibą władz wojewódzkich jest Lublin. Jest najdalej wysuniętym na wschód województwem w Polsce. ",13,Numbered,red,"Lubelskie, Poland",51.279099,22.758646,,,,
Lublin,media/google-sheet-screenshot.png,Screenshot of linked Google Sheet.,https://www.youtube.com/watch?v=vU2-YQEkhZg,"Miasto na prawach powiatu we wschodniej Polsce, stolica województwa i powiatu lubelskiego, centralny ośrodek aglomeracji lubelskiej. Dziewiąte co do wielkości populacji miasto w Polsce, drugie w Małopolsce (337 788 mieszkańców (stan na 30.06.2021 roku).",15,Numbered,orange-dark,"Lublin, Lubelskie, Poland",51.24691,22.57362,,,,
Chełm,media/washington-monument-nps.png,"Source: US National Park Service, public domain",https://pl.wikipedia.org/wiki/Che%C5%82m,"Miasto na prawach powiatu we wschodniej Polsce, w województwie lubelskim. Leży 42 km od granicy z Białorusią i 21 km od granicy z Ukrainą w pobliżu przejścia granicznego w Dorohusku. Leży nad rzeką Uherką, lewym dopływem Bugu, jest trzecim co do liczby ludności miastem w województwie.",15,Numbered,orange,"Chełm, Lubelskie, Poland",51.132648,23.473761,,,,
Zamość,https://live.staticflickr.com/3747/9114059928_b5f4d56ce6_z.jpg,"Source: Anthony Citrano/Flickr, Creative Commons BY-NC-ND",https://pl.wikipedia.org/wiki/Zamo%C5%9B%C4%87,"Miasto na prawach powiatu w Polsce w południowej części województwa lubelskiego, siedziba władz powiatu zamojskiego i gminy wiejskiej Zamość. Jest jednym z większych ośrodków kulturalnych, edukacyjnych i turystycznych województwa, a zwłaszcza Zamojszczyzny. Za sprawą unikalnego zespołu architektoniczno-urbanistycznego Starego Miasta bywa nazywany „perłą renesansu”, „miastem arkad” i „Padwą północy”.",15,Numbered,yellow,"Zamość, Lubelskie, Poland",50.717369,23.25276,,,,
Biała Podlaska,media/king-1963-npr.jpg,"Source: Agence France Presse/Getty Images, published by National Public Radio (2010)",https://pl.wikipedia.org/wiki/Bia%C5%82a_Podlaska,"Miasto na prawach powiatu we wschodniej Polsce, w województwie lubelskim, siedziba powiatu bialskiego i gminy Biała Podlaska.  Biała Podlaska uzyskała lokację miejską przed 1498 rokiem. Miasto magnackie położone było w końcu XVIII wieku w hrabstwie bialskim w powiecie brzeskolitewskim województwa brzeskolitewskiego. Miasto prywatne Królestwa Kongresowego, położone było w 1827 roku w powiecie bialskim, obwodzie bialskim województwa podlaskiego.",15,Numbered,blue-dark,"Biała Podlaska, Lubelskie, Poland",52.033333,23.116667,,,,
Puławy,media/king-1963-npr.mp3,"Source: ""Talk of the Nation,"" National Public Radio (2010)",https://pl.wikipedia.org/wiki/Pu%C5%82awy,"Miasto w zachodniej części województwa lubelskiego w pobliżu granicy województwa mazowieckiego, położone nad Wisłą, na skraju Małopolskiego Przełomu Wisły, największe miasto nadwiślańskie między Krakowem a Warszawą. ",15,Numbered,cyan,"Puławy, Lubelskie, Poland",51.416389,21.969167,,,,
Świdnik,https://www.youtube.com/embed/Q-082gadmDw?controls=0&amp;start=17,"Source: ""The Healing Wall"" (2015), a film by Christopher Kosinski",https://pl.wikipedia.org/wiki/%C5%9Awidnik,"Miasto we wschodniej Polsce, w województwie lubelskim, siedziba powiatu świdnickiego. Według danych GUS z 31 grudnia 2019 r. miał 39 136 mieszkańców",15,Numbered,purple,"Świdnik, Lubelskie, Poland",51.219722,22.7,,,,
Kraśnik,,,https://pl.wikipedia.org/wiki/Kra%C5%9Bnik,"Miasto w Polsce w województwie lubelskim, siedziba powiatu kraśnickiego, położone 49 km na południowy zachód od Lublina.",15,Numbered,violet,"Kraśnik, Lubelskie, Poland",50.921389,22.220833,,0.7,,
Łuków,,,https://pl.wikipedia.org/wiki/%C5%81uk%C3%B3w,"Miasto będące gminą miejską w Polsce, w województwie lubelskim, w powiecie łukowskim; siedziba władz powiatu łukowskiego i gminy wiejskiej Łuków. Węzeł kolejowy ze stacją węzłową, przemysł obuwniczy, mięsny, spożywczy, lokalny ośrodek usługowy rolnictwa, największy ośrodek miejski między Lublinem, Siedlcami, Puławami a Białą Podlaską.",15,Numbered,pink,"Łuków, Lubelskie, Poland",51.927222,22.383333,,0.7,geojson/canal-1851.geojson,color:red;weight:3
