Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
Polska,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Poland_in_European_Union.svg/240px-Poland_in_European_Union.svg.png,Wikipedia,https://pl.wikipedia.org/wiki/Polska,"Polska to państwo unitarne w Europie Środkowej, położone między Morzem Bałtyckim na północy a Sudetami i Karpatami na południu, w przeważającej części w dorzeczu Wisły i Odry. Od północy Polska graniczy z Rosją (z jej obwodem kaliningradzkim) i Litwą, od wschodu z Białorusią i Ukrainą, od południa ze Słowacją i Czechami, od zachodu z Niemcami. Większość północnej granicy Polski wyznacza wybrzeże Morza Bałtyckiego. Polska Wyłączna Strefa Ekonomiczna na Bałtyku graniczy ze strefami Danii i Szwecji. Granice z Ukrainą, Białorusią i Rosją stanowią równocześnie granicę zewnętrzną Unii Europejskiej i strefy Schengen.",7,Hidden,blue,Poland,51.919437,19.145136,,,,
Woj. Lubelskie,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Lublin_Voivodeship_administrative_map.svg/228px-Lublin_Voivodeship_administrative_map.svg.png,Wikipedia,https://pl.wikipedia.org/wiki/Wojew%C3%B3dztwo_lubelskie,"Jednostka samorządu terytorialnego i podziału administracyjnego we wschodniej Polsce, o powierzchni 25 122,46 km². Obejmuje głównie południową połowę Niziny Południowopodlaskiej, Polesie Zachodnie i Wołyńskie (po Bug) oraz Wyżynę Lubelską, mały obszar Wyżyny Wołyńskiej, większość polskiego Roztocza i skraj Kotliny Sandomierskiej. Według danych GUS 30 czerwca 2020 roku zamieszkiwało je około 2,1 mln osób. Siedzibą władz wojewódzkich jest Lublin. Jest najdalej wysuniętym na wschód województwem w Polsce. ",10,Numbered,red,"Lubelskie, Poland",51.279099,22.758646,,,,
Lublin,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Collage_of_views_of_Lublin.jpg/212px-Collage_of_views_of_Lublin.jpg,Wikipedia,https://www.youtube.com/watch?v=vU2-YQEkhZg,"Miasto na prawach powiatu we wschodniej Polsce, stolica województwa i powiatu lubelskiego, centralny ośrodek aglomeracji lubelskiej. Dziewiąte co do wielkości populacji miasto w Polsce, drugie w Małopolsce (337 788 mieszkańców (stan na 30.06.2021 roku).",10,Numbered,orange-dark,"Lublin, Lubelskie, Poland",51.24691,22.57362,,,,
Chełm,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/G%C3%B3rka_katedralna.jpg/240px-G%C3%B3rka_katedralna.jpg,Wikipedia,https://pl.wikipedia.org/wiki/Che%C5%82m,"Miasto na prawach powiatu we wschodniej Polsce, w województwie lubelskim. Leży 42 km od granicy z Białorusią i 21 km od granicy z Ukrainą w pobliżu przejścia granicznego w Dorohusku. Leży nad rzeką Uherką, lewym dopływem Bugu, jest trzecim co do liczby ludności miastem w województwie.",10,Numbered,orange,"Chełm, Lubelskie, Poland",51.132648,23.473761,,,,
Zamość,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Zamosc_2018_P02_aerial_photo.jpg/240px-Zamosc_2018_P02_aerial_photo.jpg,Wikipedia,https://pl.wikipedia.org/wiki/Zamo%C5%9B%C4%87,"Miasto na prawach powiatu w Polsce w południowej części województwa lubelskiego, siedziba władz powiatu zamojskiego i gminy wiejskiej Zamość. Jest jednym z większych ośrodków kulturalnych, edukacyjnych i turystycznych województwa, a zwłaszcza Zamojszczyzny. Za sprawą unikalnego zespołu architektoniczno-urbanistycznego Starego Miasta bywa nazywany „perłą renesansu”, „miastem arkad” i „Padwą północy”.",10,Numbered,yellow,"Zamość, Lubelskie, Poland",50.717369,23.25276,,,,
Biała Podlaska,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Plac_wolnosci_magistrat_poczta.jpg/240px-Plac_wolnosci_magistrat_poczta.jpg,Wikipedia,https://pl.wikipedia.org/wiki/Bia%C5%82a_Podlaska,"Miasto na prawach powiatu we wschodniej Polsce, w województwie lubelskim, siedziba powiatu bialskiego i gminy Biała Podlaska.  Biała Podlaska uzyskała lokację miejską przed 1498 rokiem. Miasto magnackie położone było w końcu XVIII wieku w hrabstwie bialskim w powiecie brzeskolitewskim województwa brzeskolitewskiego. Miasto prywatne Królestwa Kongresowego, położone było w 1827 roku w powiecie bialskim, obwodzie bialskim województwa podlaskiego.",10,Numbered,blue-dark,"Biała Podlaska, Lubelskie, Poland",52.033333,23.116667,,,,
Puławy,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Pa%C5%82ac%2C_Pu%C5%82awy.jpg/240px-Pa%C5%82ac%2C_Pu%C5%82awy.jpg,Wikipedia,https://pl.wikipedia.org/wiki/Pu%C5%82awy,"Miasto w zachodniej części województwa lubelskiego w pobliżu granicy województwa mazowieckiego, położone nad Wisłą, na skraju Małopolskiego Przełomu Wisły, największe miasto nadwiślańskie między Krakowem a Warszawą. ",10,Numbered,cyan,"Puławy, Lubelskie, Poland",51.416389,21.969167,,,,
Świdnik,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Swid3.jpg/240px-Swid3.jpg,Wikipedia,https://pl.wikipedia.org/wiki/%C5%9Awidnik,"Miasto we wschodniej Polsce, w województwie lubelskim, siedziba powiatu świdnickiego. Według danych GUS z 31 grudnia 2019 r. miał 39 136 mieszkańców",10,Numbered,purple,"Świdnik, Lubelskie, Poland",51.219722,22.7,,,,
Kraśnik,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Krasnik.png/237px-Krasnik.png,Wikipedia,https://pl.wikipedia.org/wiki/Kra%C5%9Bnik,"Miasto w Polsce w województwie lubelskim, siedziba powiatu kraśnickiego, położone 49 km na południowy zachód od Lublina.",10,Numbered,violet,"Kraśnik, Lubelskie, Poland",50.921389,22.220833,,,,
Łuków,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/%C5%81uk%C3%B3w_montage_3.jpg/190px-%C5%81uk%C3%B3w_montage_3.jpg,Wikipedia,https://pl.wikipedia.org/wiki/%C5%81uk%C3%B3w,"Miasto będące gminą miejską w Polsce, w województwie lubelskim, w powiecie łukowskim; siedziba władz powiatu łukowskiego i gminy wiejskiej Łuków. Węzeł kolejowy ze stacją węzłową, przemysł obuwniczy, mięsny, spożywczy, lokalny ośrodek usługowy rolnictwa, największy ośrodek miejski między Lublinem, Siedlcami, Puławami a Białą Podlaską.",10,Numbered,pink,"Łuków, Lubelskie, Poland",51.927222,22.383333,,,,
